town	comarca	territori	dialecte	notes
Vallfogona de Balaguer	Noguera	Catalunya	northwestern	
Vilanova de Meià	Noguera	Catalunya	northwestern	
Vilanova de l'Aguda	Noguera	Catalunya	northwestern	
la Baronia de Rialb	Noguera	Catalunya	northwestern	
la Sentiu de Sió	Noguera	Catalunya	northwestern	
les Avellanes i Santa Linya	Noguera	Catalunya	northwestern	
Àger	Noguera	Catalunya	northwestern	
Aiguafreda	Osona	Catalunya	central	
Balenyà	Osona	Catalunya	central	
Calldetenes	Osona	Catalunya	central	
Centelles	Osona	Catalunya	central	
Espinelves	Osona	Catalunya	central	
Folgueroles	Osona	Catalunya	central	
Gurb	Osona	Catalunya	central	
Malla	Osona	Catalunya	central	
Manlleu	Osona	Catalunya	central	
Montesquiu	Osona	Catalunya	central	
Muntanyola	Osona	Catalunya	central	
Orís	Osona	Catalunya	central	
Roda de Ter	Osona	Catalunya	central	
Rupit i Pruit	Osona	Catalunya	central	
Sant Agustí de Lluçanès	Osona	Catalunya	central	
Sant Bartomeu del Grau	Osona	Catalunya	central	
Sant Boi de Lluçanès	Osona	Catalunya	central	
Sant Hipòlit de Voltregà	Osona	Catalunya	central	
Sant Julià de Vilatorta	Osona	Catalunya	central	
Sant Martí de Centelles	Osona	Catalunya	central	
Sant Pere de Torelló	Osona	Catalunya	central	
Sant Quirze de Besora	Osona	Catalunya	central	
Sant Sadurní d'Osormort	Osona	Catalunya	central	
Sant Vicenç de Torelló	Osona	Catalunya	central	
Santa Cecília de Voltregà	Osona	Catalunya	central	
Santa Eugènia de Berga	Osona	Catalunya	central	
Santa Eulàlia de Riuprimer	Osona	Catalunya	central	
Santa Maria de Besora	Osona	Catalunya	central	
Seva	Osona	Catalunya	central	
Sora	Osona	Catalunya	central	
Taradell	Osona	Catalunya	central	
Tavertet	Osona	Catalunya	central	
Tavèrnoles	Osona	Catalunya	central	
Tona (Osona)	Osona	Catalunya	central	
Torelló	Osona	Catalunya	central	
Vic	Osona	Catalunya	central	
Vidrà	Osona	Catalunya	central	
Viladrau	Osona	Catalunya	central	
Vilanova de Sau	Osona	Catalunya	central	
el Brull	Osona	Catalunya	central	
l'Esquirol	Osona	Catalunya	central	
les Masies de Roda	Osona	Catalunya	central	
les Masies de Voltregà	Osona	Catalunya	central	
Abella de la Conca	Pallars Jussà	Catalunya	northwestern	
Castell de Mur	Pallars Jussà	Catalunya	northwestern	
Conca de Dalt	Pallars Jussà	Catalunya	northwestern	
Gavet de la Conca	Pallars Jussà	Catalunya	northwestern	
Isona i Conca Dellà	Pallars Jussà	Catalunya	northwestern	
Llimiana	Pallars Jussà	Catalunya	northwestern	
Salàs de Pallars	Pallars Jussà	Catalunya	northwestern	
Sant Esteve de la Sarga	Pallars Jussà	Catalunya	northwestern	
Sarroca de Bellera	Pallars Jussà	Catalunya	northwestern	
Senterada	Pallars Jussà	Catalunya	northwestern	
Talarn	Pallars Jussà	Catalunya	northwestern	
Tremp	Pallars Jussà	Catalunya	northwestern	
la Pobla de Segur	Pallars Jussà	Catalunya	northwestern	
la Torre de Cabdella	Pallars Jussà	Catalunya	northwestern	
Alins	Pallars Sobirà	Catalunya	northwestern	
Alt Àneu	Pallars Sobirà	Catalunya	northwestern	
Baix Pallars	Pallars Sobirà	Catalunya	northwestern	
Espot	Pallars Sobirà	Catalunya	northwestern	
Esterri d'Àneu	Pallars Sobirà	Catalunya	northwestern	
Esterri de Cardós	Pallars Sobirà	Catalunya	northwestern	
Farrera	Pallars Sobirà	Catalunya	northwestern	
Lladorre	Pallars Sobirà	Catalunya	northwestern	
Llavorsí	Pallars Sobirà	Catalunya	northwestern	
Rialb	Pallars Sobirà	Catalunya	northwestern	
Soriguera	Pallars Sobirà	Catalunya	northwestern	
Sort	Pallars Sobirà	Catalunya	northwestern	
Tírvia	Pallars Sobirà	Catalunya	northwestern	
Vall de Cardós	Pallars Sobirà	Catalunya	northwestern	
la Guingueta d'Àneu	Pallars Sobirà	Catalunya	northwestern	
Barbens	Pla d'Urgell	Catalunya	northwestern	
Bell-lloc d'Urgell	Pla d'Urgell	Catalunya	northwestern	
Bellvís	Pla d'Urgell	Catalunya	northwestern	
Castellnou de Seana	Pla d'Urgell	Catalunya	northwestern	
Fondarella	Pla d'Urgell	Catalunya	northwestern	
Golmés	Pla d'Urgell	Catalunya	northwestern	
Ivars d'Urgell	Pla d'Urgell	Catalunya	northwestern	
Linyola	Pla d'Urgell	Catalunya	northwestern	
Miralcamp	Pla d'Urgell	Catalunya	northwestern	
Mollerussa	Pla d'Urgell	Catalunya	northwestern	
Sidamon	Pla d'Urgell	Catalunya	northwestern	
Torregrossa	Pla d'Urgell	Catalunya	northwestern	
Vila-sana	Pla d'Urgell	Catalunya	northwestern	
Vilanova de Bellpuig	Pla d'Urgell	Catalunya	northwestern	
el Palau d'Anglesola	Pla d'Urgell	Catalunya	northwestern	
el Poal	Pla d'Urgell	Catalunya	northwestern	
Banyoles	Pla de l'Estany	Catalunya	central	
Camós	Pla de l'Estany	Catalunya	central	
Cornellà del Terri	Pla de l'Estany	Catalunya	central	
Crespià	Pla de l'Estany	Catalunya	central	
Esponellà	Pla de l'Estany	Catalunya	central	
Fontcoberta	Pla de l'Estany	Catalunya	central	
Palol de Revardit	Pla de l'Estany	Catalunya	central	
Porqueres	Pla de l'Estany	Catalunya	central	
Sant Miquel de Campmajor	Pla de l'Estany	Catalunya	central	
Serinyà	Pla de l'Estany	Catalunya	central	
Vilademuls	Pla de l'Estany	Catalunya	central	
Bellmunt del Priorat	Priorat	Catalunya	northwestern	
Cabassers	Priorat	Catalunya	northwestern	
Capçanes	Priorat	Catalunya	northwestern	
Cornudella de Montsant	Priorat	Catalunya	northwestern	
Falset	Priorat	Catalunya	northwestern	
Gratallops	Priorat	Catalunya	northwestern	
Margalef	Priorat	Catalunya	northwestern	
Marçà	Priorat	Catalunya	northwestern	
Poboleda	Priorat	Catalunya	northwestern	
Porrera	Priorat	Catalunya	northwestern	
Pradell de la Teixeta	Priorat	Catalunya	northwestern	
Torroja del Priorat	Priorat	Catalunya	northwestern	
Ulldemolins	Priorat	Catalunya	northwestern	
el Lloar	Priorat	Catalunya	northwestern	
el Masroig	Priorat	Catalunya	northwestern	
el Molar	Priorat	Catalunya	northwestern	
els Guiamets	Priorat	Catalunya	northwestern	
la Bisbal de Montsant	Priorat	Catalunya	northwestern	
la Figuera	Priorat	Catalunya	northwestern	
la Morera de Montsant	Priorat	Catalunya	northwestern	
la Torre de Fontaubella	Priorat	Catalunya	northwestern	
la Vilella Alta	Priorat	Catalunya	northwestern	
la Vilella Baixa	Priorat	Catalunya	northwestern	
Ascó	Ribera d'Ebre	Catalunya	northwestern	
Benissanet	Ribera d'Ebre	Catalunya	northwestern	
Flix	Ribera d'Ebre	Catalunya	northwestern	
Garcia	Ribera d'Ebre	Catalunya	northwestern	
Ginestar	Ribera d'Ebre	Catalunya	northwestern	
Miravet	Ribera d'Ebre	Catalunya	northwestern	
Móra d'Ebre	Ribera d'Ebre	Catalunya	northwestern	
Móra la Nova	Ribera d'Ebre	Catalunya	northwestern	
Rasquera	Ribera d'Ebre	Catalunya	northwestern	
Riba-roja d'Ebre	Ribera d'Ebre	Catalunya	northwestern	
Tivissa	Ribera d'Ebre	Catalunya	northwestern	
Vinebre	Ribera d'Ebre	Catalunya	northwestern	
la Palma d'Ebre	Ribera d'Ebre	Catalunya	northwestern	
la Torre de l'Espanyol	Ribera d'Ebre	Catalunya	northwestern	
Campdevànol	Ripollès	Catalunya	central	
Campelles	Ripollès	Catalunya	central	
Camprodon	Ripollès	Catalunya	central	
Gombrèn	Ripollès	Catalunya	central	
Llanars	Ripollès	Catalunya	central	
Molló	Ripollès	Catalunya	central	
Ogassa	Ripollès	Catalunya	central	
Pardines	Ripollès	Catalunya	central	
Planoles	Ripollès	Catalunya	central	
Queralbs	Ripollès	Catalunya	central	
Ribes de Freser	Ripollès	Catalunya	central	
Ripoll	Ripollès	Catalunya	central	
Sant Joan de les Abadesses	Ripollès	Catalunya	central	
Sant Pau de Segúries	Ripollès	Catalunya	central	
Setcases	Ripollès	Catalunya	central	
Toses	Ripollès	Catalunya	central	
Vallfogona de Ripollès	Ripollès	Catalunya	central	
Vilallonga de Ter	Ripollès	Catalunya	central	
les Llosses	Ripollès	Catalunya	central	
Cervera	Segarra	Catalunya	northwestern	
Estaràs	Segarra	Catalunya	northwestern	
Granyanella	Segarra	Catalunya	northwestern	
Granyena de Segarra	Segarra	Catalunya	northwestern	
Guissona	Segarra	Catalunya	northwestern	
Ivorra	Segarra	Catalunya	northwestern	
Massoteres	Segarra	Catalunya	northwestern	
Montoliu de Segarra	Segarra	Catalunya	northwestern	
Montornès de Segarra	Segarra	Catalunya	northwestern	
Ribera d'Ondara	Segarra	Catalunya	northwestern	
Sanaüja	Segarra	Catalunya	northwestern	
Sant Guim de Freixenet	Segarra	Catalunya	northwestern	
Sant Guim de la Plana	Segarra	Catalunya	northwestern	
Sant Ramon	Segarra	Catalunya	northwestern	
Talavera	Segarra	Catalunya	northwestern	
Tarroja de Segarra	Segarra	Catalunya	northwestern	
Torrefeta i Florejacs	Segarra	Catalunya	northwestern	
els Plans de Sió	Segarra	Catalunya	northwestern	
les Oluges	Segarra	Catalunya	northwestern	
Aitona	Segrià	Catalunya	northwestern	
Albatàrrec	Segrià	Catalunya	northwestern	
Alcanó	Segrià	Catalunya	northwestern	
Alcarràs	Segrià	Catalunya	northwestern	
Alcoletge	Segrià	Catalunya	northwestern	
Alfarràs	Segrià	Catalunya	northwestern	
Alfés	Segrià	Catalunya	northwestern	
Alguaire	Segrià	Catalunya	northwestern	
Almacelles	Segrià	Catalunya	northwestern	
Almatret	Segrià	Catalunya	northwestern	
Almenar	Segrià	Catalunya	northwestern	
Alpicat	Segrià	Catalunya	northwestern	
Artesa de Lleida	Segrià	Catalunya	northwestern	
Aspa	Segrià	Catalunya	northwestern	
Benavent de Segrià	Segrià	Catalunya	northwestern	
Corbins	Segrià	Catalunya	northwestern	
Gimenells i el Pla de la Font	Segrià	Catalunya	northwestern	
Llardecans	Segrià	Catalunya	northwestern	
Lleida	Segrià	Catalunya	northwestern	
Maials	Segrià	Catalunya	northwestern	
Massalcoreig	Segrià	Catalunya	northwestern	
Montoliu de Lleida	Segrià	Catalunya	northwestern	
Puigverd de Lleida	Segrià	Catalunya	northwestern	
Rosselló (Segrià)	Segrià	Catalunya	northwestern	
Sarroca de Lleida	Segrià	Catalunya	northwestern	
Seròs	Segrià	Catalunya	northwestern	
Soses	Segrià	Catalunya	northwestern	
Sudanell	Segrià	Catalunya	northwestern	
Sunyer (municipi)	Segrià	Catalunya	northwestern	
Torre-serona	Segrià	Catalunya	northwestern	
Torrebesses	Segrià	Catalunya	northwestern	
Torrefarrera	Segrià	Catalunya	northwestern	
Torres de Segre	Segrià	Catalunya	northwestern	
Vilanova de Segrià	Segrià	Catalunya	northwestern	
Vilanova de la Barca	Segrià	Catalunya	northwestern	
els Alamús	Segrià	Catalunya	northwestern	
la Granja d'Escarp	Segrià	Catalunya	northwestern	
la Portella	Segrià	Catalunya	northwestern	
Amer	Selva	Catalunya	central	
Anglès (la Selva)	Selva	Catalunya	central	
Arbúcies	Selva	Catalunya	central	
Blanes	Selva	Catalunya	central	
Breda	Selva	Catalunya	central	
Brunyola i Sant Martí Sapresa	Selva	Catalunya	central	
Caldes de Malavella	Selva	Catalunya	central	
Fogars de la Selva	Selva	Catalunya	central	
Hostalric	Selva	Catalunya	central	
Lloret de Mar	Selva	Catalunya	central	
Maçanes	Selva	Catalunya	central	
Maçanet de la Selva	Selva	Catalunya	central	
Osor	Selva	Catalunya	central	
Riells i Viabrea	Selva	Catalunya	central	
Riudarenes	Selva	Catalunya	central	
Riudellots de la Selva	Selva	Catalunya	central	
Sant Feliu de Buixalleu	Selva	Catalunya	central	
Sant Hilari Sacalm	Selva	Catalunya	central	
Sant Julià del Llor i Bonmatí	Selva	Catalunya	central	
Santa Coloma de Farners	Selva	Catalunya	central	
Sils	Selva	Catalunya	central	
Susqueda	Selva	Catalunya	central	
Tossa de Mar	Selva	Catalunya	central	
Vidreres	Selva	Catalunya	central	
Vilobí d'Onyar	Selva	Catalunya	central	
la Cellera de Ter	Selva	Catalunya	central	
Biosca	Solsonès	Catalunya	northwestern	
Castellar de la Ribera	Solsonès	Catalunya	northwestern	
Clariana de Cardener	Solsonès	Catalunya	northwestern	
Guixers	Solsonès	Catalunya	northwestern	
Lladurs	Solsonès	Catalunya	northwestern	
Llobera	Solsonès	Catalunya	northwestern	
Navès	Solsonès	Catalunya	northwestern	
Odèn	Solsonès	Catalunya	northwestern	
Olius	Solsonès	Catalunya	northwestern	
Pinell de Solsonès	Solsonès	Catalunya	northwestern	
Pinós	Solsonès	Catalunya	northwestern	
Riner	Solsonès	Catalunya	northwestern	
Sant Llorenç de Morunys	Solsonès	Catalunya	northwestern	
Solsona	Solsonès	Catalunya	northwestern	
Torà	Solsonès	Catalunya	northwestern	
la Coma i la Pedra	Solsonès	Catalunya	northwestern	
la Molsosa	Solsonès	Catalunya	northwestern	
Altafulla	Tarragonès	Catalunya	central	
Constantí	Tarragonès	Catalunya	central	
Creixell	Tarragonès	Catalunya	central	
Perafort	Tarragonès	Catalunya	central	
Renau	Tarragonès	Catalunya	central	
Roda de Berà	Tarragonès	Catalunya	central	
Salomó (Tarragonès)	Tarragonès	Catalunya	central	
Salou	Tarragonès	Catalunya	central	
Tarragona	Tarragonès	Catalunya	central	
Torredembarra	Tarragonès	Catalunya	central	
Vespella de Gaià	Tarragonès	Catalunya	central	
Vila-seca	Tarragonès	Catalunya	central	
Vilallonga del Camp	Tarragonès	Catalunya	central	
el Catllar	Tarragonès	Catalunya	central	
el Morell	Tarragonès	Catalunya	central	
els Pallaresos	Tarragonès	Catalunya	central	
la Canonja	Tarragonès	Catalunya	central	
la Nou de Gaià	Tarragonès	Catalunya	central	
la Pobla de Mafumet	Tarragonès	Catalunya	central	
la Pobla de Montornès	Tarragonès	Catalunya	central	
la Riera de Gaià	Tarragonès	Catalunya	central	
la Secuita	Tarragonès	Catalunya	central	
Arnes	Terra Alta	Catalunya	northwestern	
Batea	Terra Alta	Catalunya	northwestern	
Bot (Terra Alta)	Terra Alta	Catalunya	northwestern	
Caseres	Terra Alta	Catalunya	northwestern	
Corbera d'Ebre	Terra Alta	Catalunya	northwestern	
Gandesa	Terra Alta	Catalunya	northwestern	
Horta de Sant Joan	Terra Alta	Catalunya	northwestern	
Prat de Comte	Terra Alta	Catalunya	northwestern	
Vilalba dels Arcs	Terra Alta	Catalunya	northwestern	
el Pinell de Brai	Terra Alta	Catalunya	northwestern	
la Fatarella	Terra Alta	Catalunya	northwestern	
la Pobla de Massaluca	Terra Alta	Catalunya	northwestern	
Agramunt	Urgell	Catalunya	northwestern	
Anglesola	Urgell	Catalunya	northwestern	
Belianes	Urgell	Catalunya	northwestern	
Bellpuig	Urgell	Catalunya	northwestern	
Castellserà	Urgell	Catalunya	northwestern	
Ciutadilla	Urgell	Catalunya	northwestern	
Guimerà	Urgell	Catalunya	northwestern	
Maldà	Urgell	Catalunya	northwestern	
Nalec	Urgell	Catalunya	northwestern	
Ossó de Sió	Urgell	Catalunya	northwestern	
Preixana	Urgell	Catalunya	northwestern	
Puigverd d'Agramunt	Urgell	Catalunya	northwestern	
Sant Martí de Riucorb	Urgell	Catalunya	northwestern	
Tornabous	Urgell	Catalunya	northwestern	
Tàrrega	Urgell	Catalunya	northwestern	
Vallbona de les Monges	Urgell	Catalunya	northwestern	
Verdú	Urgell	Catalunya	northwestern	
Vilagrassa	Urgell	Catalunya	northwestern	
els Omells de na Gaia	Urgell	Catalunya	northwestern	
la Fuliola	Urgell	Catalunya	northwestern	
Arres	Vall d'Aran	Catalunya	unknown	Aranès (occità) hi és la llengua pròpia, no català
Bausen	Vall d'Aran	Catalunya	unknown	Aranès (occità) hi és la llengua pròpia, no català
Bossòst	Vall d'Aran	Catalunya	unknown	Aranès (occità) hi és la llengua pròpia, no català
Canejan	Vall d'Aran	Catalunya	unknown	Aranès (occità) hi és la llengua pròpia, no català
Es Bòrdes	Vall d'Aran	Catalunya	unknown	Aranès (occità) hi és la llengua pròpia, no català
Les	Vall d'Aran	Catalunya	unknown	Aranès (occità) hi és la llengua pròpia, no català
Naut Aran	Vall d'Aran	Catalunya	unknown	Aranès (occità) hi és la llengua pròpia, no català
Vielha e Mijaran	Vall d'Aran	Catalunya	unknown	Aranès (occità) hi és la llengua pròpia, no català
Vilamòs	Vall d'Aran	Catalunya	unknown	Aranès (occità) hi és la llengua pròpia, no català
Badia del Vallès	Vallès Occidental	Catalunya	central	
Barberà del Vallès	Vallès Occidental	Catalunya	central	
Castellar del Vallès	Vallès Occidental	Catalunya	central	
Castellbisbal	Vallès Occidental	Catalunya	central	
Cerdanyola del Vallès	Vallès Occidental	Catalunya	central	
Gallifa	Vallès Occidental	Catalunya	central	
Matadepera	Vallès Occidental	Catalunya	central	
Montcada i Reixac	Vallès Occidental	Catalunya	central	
Palau-solità i Plegamans	Vallès Occidental	Catalunya	central	
Polinyà	Vallès Occidental	Catalunya	central	
Rellinars	Vallès Occidental	Catalunya	central	
Ripollet	Vallès Occidental	Catalunya	central	
Rubí	Vallès Occidental	Catalunya	central	
Sabadell	Vallès Occidental	Catalunya	central	
Sant Cugat del Vallès	Vallès Occidental	Catalunya	central	
Sant Llorenç Savall	Vallès Occidental	Catalunya	central	
Sant Quirze del Vallès	Vallès Occidental	Catalunya	central	
Santa Perpètua de Mogoda	Vallès Occidental	Catalunya	central	
Sentmenat	Vallès Occidental	Catalunya	central	
Terrassa	Vallès Occidental	Catalunya	central	
Ullastrell	Vallès Occidental	Catalunya	central	
Vacarisses	Vallès Occidental	Catalunya	central	
Viladecavalls	Vallès Occidental	Catalunya	central	
Bigues i Riells del Fai	Vallès Oriental	Catalunya	central	
Caldes de Montbui	Vallès Oriental	Catalunya	central	
Campins	Vallès Oriental	Catalunya	central	
Canovelles	Vallès Oriental	Catalunya	central	
Cardedeu	Vallès Oriental	Catalunya	central	
Cànoves i Samalús	Vallès Oriental	Catalunya	central	
El Figueró i Montmany	Vallès Oriental	Catalunya	central	
Fogars de Montclús	Vallès Oriental	Catalunya	central	
Granollers	Vallès Oriental	Catalunya	central	
Gualba	Vallès Oriental	Catalunya	central	
Llinars del Vallès	Vallès Oriental	Catalunya	central	
Lliçà d'Amunt	Vallès Oriental	Catalunya	central	
Lliçà de Vall	Vallès Oriental	Catalunya	central	
Martorelles	Vallès Oriental	Catalunya	central	
Mollet del Vallès	Vallès Oriental	Catalunya	central	
Montmeló	Vallès Oriental	Catalunya	central	
Montornès del Vallès	Vallès Oriental	Catalunya	central	
Montseny	Vallès Oriental	Catalunya	central	
Parets del Vallès	Vallès Oriental	Catalunya	central	
Sant Antoni de Vilamajor	Vallès Oriental	Catalunya	central	
Sant Celoni	Vallès Oriental	Catalunya	central	
Sant Esteve de Palautordera	Vallès Oriental	Catalunya	central	
Sant Feliu de Codines	Vallès Oriental	Catalunya	central	
Sant Fost de Campsentelles	Vallès Oriental	Catalunya	central	
Sant Pere de Vilamajor	Vallès Oriental	Catalunya	central	
Santa Eulàlia de Ronçana	Vallès Oriental	Catalunya	central	
Santa Maria de Martorelles	Vallès Oriental	Catalunya	central	
Santa Maria de Palautordera	Vallès Oriental	Catalunya	central	
Tagamanent	Vallès Oriental	Catalunya	central	
Vallgorguina	Vallès Oriental	Catalunya	central	
Vallromanes	Vallès Oriental	Catalunya	central	
Vilalba Sasserra	Vallès Oriental	Catalunya	central	
Vilanova del Vallès	Vallès Oriental	Catalunya	central	
l'Ametlla del Vallès	Vallès Oriental	Catalunya	central	
la Garriga	Vallès Oriental	Catalunya	central	
la Llagosta	Vallès Oriental	Catalunya	central	
la Roca del Vallès	Vallès Oriental	Catalunya	central	
les Franqueses del Vallès	Vallès Oriental	Catalunya	central	
Font-rabiosa	Capcir	Catalunya Nord	septentrional	
Formiguera	Capcir	Catalunya Nord	septentrional	
Matamala (comuna del Capcir)	Capcir	Catalunya Nord	septentrional	
Puigbalador	Capcir	Catalunya Nord	septentrional	
Real (Capcir)	Capcir	Catalunya Nord	septentrional	
els Angles	Capcir	Catalunya Nord	septentrional	
la Llaguna	Capcir	Catalunya Nord	septentrional	
Angostrina i Vilanova de les Escaldes	Cerdanya	Catalunya Nord	septentrional	
Bolquera	Cerdanya	Catalunya Nord	septentrional	
Dorres	Cerdanya	Catalunya Nord	septentrional	
Eina (Cerdanya)	Cerdanya	Catalunya Nord	septentrional	
Enveig	Cerdanya	Catalunya Nord	septentrional	
Er (Cerdanya)	Cerdanya	Catalunya Nord	septentrional	
Estavar	Cerdanya	Catalunya Nord	septentrional	
Font-romeu, Odelló i Vià	Cerdanya	Catalunya Nord	septentrional	
Llo	Cerdanya	Catalunya Nord	septentrional	
Montlluís	Cerdanya	Catalunya Nord	septentrional	
Naüja	Cerdanya	Catalunya Nord	septentrional	
Oceja	Cerdanya	Catalunya Nord	septentrional	
Palau de Cerdanya	Cerdanya	Catalunya Nord	septentrional	
Planès	Cerdanya	Catalunya Nord	septentrional	
Porta (Alta Cerdanya)	Cerdanya	Catalunya Nord	septentrional	
Portè	Cerdanya	Catalunya Nord	septentrional	
Sallagosa	Cerdanya	Catalunya Nord	septentrional	
Sant Pere dels Forcats	Cerdanya	Catalunya Nord	septentrional	
Santa Llocaia	Cerdanya	Catalunya Nord	septentrional	
Targasona	Cerdanya	Catalunya Nord	septentrional	
Ur (Cerdanya)	Cerdanya	Catalunya Nord	septentrional	
Vallcebollera	Cerdanya	Catalunya Nord	septentrional	
la Cabanassa	Cerdanya	Catalunya Nord	septentrional	
la Guingueta d'Ix	Cerdanya	Catalunya Nord	septentrional	
la Tor de Querol	Cerdanya	Catalunya Nord	septentrional	
Èguet	Cerdanya	Catalunya Nord	septentrional	
Aiguatèbia i Talau	Conflent	Catalunya Nord	septentrional	
Arboçols	Conflent	Catalunya Nord	septentrional	
Campome	Conflent	Catalunya Nord	septentrional	
Canavelles	Conflent	Catalunya Nord	septentrional	
Castell de Vernet	Conflent	Catalunya Nord	septentrional	
Catllà	Conflent	Catalunya Nord	septentrional	
Caudiers de Conflent	Conflent	Catalunya Nord	septentrional	
Censà	Conflent	Catalunya Nord	septentrional	
Clarà i Villerac	Conflent	Catalunya Nord	septentrional	
Codalet	Conflent	Catalunya Nord	septentrional	
Conat	Conflent	Catalunya Nord	septentrional	
Cornellà de Conflent	Conflent	Catalunya Nord	septentrional	
Escaró	Conflent	Catalunya Nord	septentrional	
Espirà de Conflent	Conflent	Catalunya Nord	septentrional	
Estoer	Conflent	Catalunya Nord	septentrional	
Eus	Conflent	Catalunya Nord	septentrional	
Fillols	Conflent	Catalunya Nord	septentrional	
Finestret	Conflent	Catalunya Nord	septentrional	
Fontpedrosa	Conflent	Catalunya Nord	septentrional	
Fullà	Conflent	Catalunya Nord	septentrional	
Glorianes	Conflent	Catalunya Nord	septentrional	
Jóc	Conflent	Catalunya Nord	septentrional	
Jújols	Conflent	Catalunya Nord	septentrional	
Marqueixanes	Conflent	Catalunya Nord	septentrional	
Mentet	Conflent	Catalunya Nord	septentrional	
Molig	Conflent	Catalunya Nord	septentrional	
Mosset	Conflent	Catalunya Nord	septentrional	
Noedes	Conflent	Catalunya Nord	septentrional	
Nyer	Conflent	Catalunya Nord	septentrional	
Oleta i Èvol	Conflent	Catalunya Nord	septentrional	
Orbanyà	Conflent	Catalunya Nord	septentrional	
Orellà	Conflent	Catalunya Nord	septentrional	
Pi de Conflent	Conflent	Catalunya Nord	septentrional	
Prada	Conflent	Catalunya Nord	septentrional	
Ralleu	Conflent	Catalunya Nord	septentrional	
Rigardà	Conflent	Catalunya Nord	septentrional	
Rià i Cirac	Conflent	Catalunya Nord	septentrional	
Rodès	Conflent	Catalunya Nord	septentrional	
Saorra	Conflent	Catalunya Nord	septentrional	
Sautó	Conflent	Catalunya Nord	septentrional	
Serdinyà	Conflent	Catalunya Nord	septentrional	
Soanyes	Conflent	Catalunya Nord	septentrional	
Tarerac	Conflent	Catalunya Nord	septentrional	
Taurinyà	Conflent	Catalunya Nord	septentrional	
Toès i Entrevalls	Conflent	Catalunya Nord	septentrional	
Vallestàvia	Conflent	Catalunya Nord	septentrional	
Vallmanya	Conflent	Catalunya Nord	septentrional	
Vernet	Conflent	Catalunya Nord	septentrional	
Vilafranca de Conflent	Conflent	Catalunya Nord	septentrional	
Vinçà	Conflent	Catalunya Nord	septentrional	
els Masos	Conflent	Catalunya Nord	septentrional	
Comarca	Població	Catalunya Nord	septentrional	
Alenyà	Rosselló	Catalunya Nord	septentrional	
Argelers	Rosselló	Catalunya Nord	septentrional	
Bages de Rosselló	Rosselló	Catalunya Nord	septentrional	
Baixàs	Rosselló	Catalunya Nord	septentrional	
Banyuls de la Marenda	Rosselló	Catalunya Nord	septentrional	
Banyuls dels Aspres	Rosselló	Catalunya Nord	septentrional	
Bao	Rosselló	Catalunya Nord	septentrional	
Bompàs	Rosselló	Catalunya Nord	septentrional	
Brullà	Rosselló	Catalunya Nord	septentrional	
Bula d'Amunt	Rosselló	Catalunya Nord	septentrional	
Bulaternera	Rosselló	Catalunya Nord	septentrional	
Cabestany	Rosselló	Catalunya Nord	septentrional	
Calce	Rosselló	Catalunya Nord	septentrional	
Calmella	Rosselló	Catalunya Nord	septentrional	
Cameles	Rosselló	Catalunya Nord	septentrional	
Canet de Rosselló	Rosselló	Catalunya Nord	septentrional	
Casafabre	Rosselló	Catalunya Nord	septentrional	
Cases de Pena	Rosselló	Catalunya Nord	septentrional	
Castellnou dels Aspres	Rosselló	Catalunya Nord	septentrional	
Cervera de la Marenda	Rosselló	Catalunya Nord	septentrional	
Clairà	Rosselló	Catalunya Nord	septentrional	
Corbera (Rosselló)	Rosselló	Catalunya Nord	septentrional	
Corbera la Cabana	Rosselló	Catalunya Nord	septentrional	
Cornellà de la Ribera	Rosselló	Catalunya Nord	septentrional	
Cornellà del Bercol	Rosselló	Catalunya Nord	septentrional	
Cotlliure	Rosselló	Catalunya Nord	septentrional	
Cànoes	Rosselló	Catalunya Nord	septentrional	
El Soler (Rosselló)	Rosselló	Catalunya Nord	septentrional	
Elna	Rosselló	Catalunya Nord	septentrional	
Espirà de l'Aglí	Rosselló	Catalunya Nord	septentrional	
Estagell	Rosselló	Catalunya Nord	septentrional	
Forques	Rosselló	Catalunya Nord	septentrional	
Illa (Rosselló)	Rosselló	Catalunya Nord	septentrional	
Llauró	Rosselló	Catalunya Nord	septentrional	
Llupià	Rosselló	Catalunya Nord	septentrional	
Millars (Rosselló)	Rosselló	Catalunya Nord	septentrional	
Montescot	Rosselló	Catalunya Nord	septentrional	
Montesquiu d'Albera	Rosselló	Catalunya Nord	septentrional	
Montner	Rosselló	Catalunya Nord	septentrional	
Montoriol	Rosselló	Catalunya Nord	septentrional	
Nefiac	Rosselló	Catalunya Nord	septentrional	
Oms	Rosselló	Catalunya Nord	septentrional	
Ortafà	Rosselló	Catalunya Nord	septentrional	
Palau del Vidre	Rosselló	Catalunya Nord	septentrional	
Paretstortes	Rosselló	Catalunya Nord	septentrional	
Paçà	Rosselló	Catalunya Nord	septentrional	
Perpinyà	Rosselló	Catalunya Nord	septentrional	
Pesillà de la Ribera	Rosselló	Catalunya Nord	septentrional	
Pià	Rosselló	Catalunya Nord	septentrional	
Pollestres	Rosselló	Catalunya Nord	septentrional	
Pontellà	Rosselló	Catalunya Nord	septentrional	
Portvendres	Rosselló	Catalunya Nord	septentrional	
Prunet i Bellpuig	Rosselló	Catalunya Nord	septentrional	
Queixàs	Rosselló	Catalunya Nord	septentrional	
Ribesaltes	Rosselló	Catalunya Nord	septentrional	
